,Unnamed: 0,index,Login Timestamp,User ID,Round-Trip Time [ms],IP Address,Country,Region,City,ASN,User Agent String,Browser Name and Version,OS Name and Version,Device Type,Login Successful,Is Attack IP,Is Account Takeover,date,day,month,year,hour
91398,25431359,25431359,2020-12-27 17:45:22.991,-7764448200470576147,,46.249.249.240,NO,Trøndelag,Stjordal,49455,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.17.23.92 Safari/537.36",Chrome 69.0.3497.17.23,Mac OS X 10.14.6,desktop,True,False,False,2020-12-27,27,12,2020,17
92746,22651574,22651574,2020-11-30 17:01:57.810,-4324475583306591935,,10.3.205.195,RU,Sverdlovsk Oblast,Alapayevsk,15599,ZipppBot/0.11 (ZipppBot; https://github.com/das-group/rba-dataset; webmaster@zippp.net),ZipppBot 0.11,Other ,bot,False,False,False,2020-11-30,30,11,2020,17
15006,25901491,25901491,2020-12-31 11:44:46.692,5828989722424585933,,109.247.53.240,NO,Agder,Byglandsfjord,29695,"Mozilla/5.0  (iPhone; CPU iPhone OS 9_3_3 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/280613",Android 2.3.3.2639,iOS 9.3.3,mobile,True,False,False,2020-12-31,31,12,2020,11
74920,30584443,30584443,2021-02-20 09:02:42.154,-4324475583306591935,,170.39.76.88,US,-,-,393398,"Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) Build/NPP25.137-93; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/80.0.3987.87 Mobile Safari/537.36",Chrome Mobile WebView 80.0.3987,Android 6.0.99,mobile,False,False,False,2021-02-20,20,2,2021,9
63788,29068727,29068727,2021-02-01 02:14:16.259,-720006495820305807,,170.39.78.131,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) optimo (XT1952DL AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1946.111 Mobile Safari/537.36",Chrome Mobile 81.0.4044.1946,iOS 11.2.6,mobile,True,False,False,2021-02-01,1,2,2021,2
81586,21236607,21236607,2020-11-19 16:05:02.051,-87422082925053765,,139.164.115.14,NO,-,-,29695,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1928.138 Mobile Safari/537.36 OPT/2.4 variation/222654",Chrome Mobile 81.0.4044.1928,iOS 13.4,mobile,True,False,False,2020-11-19,19,11,2020,16
11839,6032175,6032175,2020-04-26 05:29:36.317,8829100743619502028,744.0,80.232.69.46,NO,Oslo County,Oslo,25400,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1926.41 Mobile Safari/537.36",Chrome Mobile 81.0.4044.1926,iOS 13.4,mobile,False,False,False,2020-04-26,26,4,2020,5
97461,9290961,9290961,2020-06-11 13:19:48.451,-4324475583306591935,,10.1.36.43,IN,Telangana,Dongli,132996,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) play AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1937.96 Mobile Safari/537.36 variation/178317",Chrome Mobile 81.0.4044.1937,iOS 11.2.6,mobile,False,False,False,2020-06-11,11,6,2020,13
48757,22289500,22289500,2020-11-28 05:02:25.485,-4324475583306591935,,89.33.180.0,ES,Andalusia,Cordova,206451,VLC/3.0.0-git LibVLC/3.0.0-git,VLC 3.0.0-git,Other ,unknown,False,False,False,2020-11-28,28,11,2020,5
32925,15781736,15781736,2020-09-09 18:18:57.367,3236662977458922488,,5.100.182.57,NO,-,-,50304,"Mozilla/5.0  (Linux; U; Android 5.4.3; en-us; GT-I9060 Build/JDQ39) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/69385",Android 2.3.3.2660,Android 5.4.3,mobile,False,False,False,2020-09-09,9,9,2020,18
